NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
00624,0.5939278937381404,0.41987577639751555,0.45770392749244715,0.05597579425113464,0.7333333333333333,0.8507462686567164,0.6538461538461539,0.28598848368522073
00627,0.5231624459542927,0.441340782122905,0.2723146747352496,0.0979431929480901,0.4608501118568233,0.5150375939849624,0.75,0.3579277864992151
00637,0.593558282208589,0.45047169811320753,0.0911062906724512,0.08505747126436781,0.48704663212435234,0.6046511627906976,0.5821917808219178,0.2695417789757412
00638,0.5438401775804661,0.3997747747747748,0.3764135702746365,0.10632183908045977,0.8809523809523809,0.7425742574257426,0.7255520504731862,0.04945054945054945
00641,0.5664794007490637,0.4507874015748031,0.32304038004750596,0.13239875389408098,0.5228426395939086,0.7751937984496124,0.8578274760383386,0.28672985781990523
00646,0.4724540901502504,0.34430176565008025,0.13644214162348878,0.02691157624946604,0.7431192660550459,0.6655052264808362,0.592,0.0818452380952381
00647,0.5238095238095238,0.4931972789115646,0.7358490566037735,0.11764705882352941,0.0,0.774074074074074,0.884393063583815,0.4807692307692308
00650,0.5033112582781457,0.5039370078740157,0.28536585365853656,0.1680161943319838,0.6724890829694323,0.5202821869488536,0.5708812260536399,0.1807909604519774
00652,0.27906976744186046,0.16101694915254236,0.08333333333333333,0.09375,0.45714285714285713,0.7804878048780488,0.8404255319148937,0.5309734513274337
00653,0.7593220338983051,0.5614035087719298,0.17167381974248927,0.23717948717948717,0.9545454545454546,0.902200488997555,0.8181818181818182,0.2631578947368421
00656,0.49377593360995853,0.42579505300353354,0.3515625,0.1239193083573487,0.7755555555555556,0.9389312977099237,0.6702898550724637,0.43891402714932126
00659,0.6159728122344945,0.47665847665847666,0.26308633582596874,0.10084033613445378,0.7378787878787879,0.7821969696969697,0.6890243902439024,0.4180602006688963
00660,0.4067357512953368,0.2651162790697674,0.3799212598425197,0.16029411764705884,0.6896551724137931,0.6340782122905028,0.7628361858190709,0.3651452282157676
00662,0.7311475409836066,0.33209417596034696,0.286215978928885,0.1601815823605707,0.6954612005856515,0.7875647668393783,0.726123595505618,0.4401805869074492
00664,0.6768867924528302,0.4385245901639344,0.4296482412060301,0.09287257019438445,0.736,0.576036866359447,0.7092198581560284,0.843558282208589
00667,0.6801007556675063,0.48933901918976547,0.2943201376936317,0.17794486215538846,0.7062780269058296,0.7441860465116279,0.7564322469982847,0.4291044776119403
00669,0.6619618913196895,0.5486111111111112,0.41980624327233584,0.15063731170336037,0.7082630691399663,0.6326129666011788,0.760119940029985,0.3133159268929504
00670,0.6058823529411764,0.4952681388012618,0.0,0.15636363636363637,0.5663716814159292,0.7894736842105263,1.0,0.8181818181818182
00674,0.45565217391304347,0.2720144752714113,0.26785714285714285,0.05982324949014276,0.7251051893408135,0.7824074074074074,0.5989911727616646,0.2261380323054332
00676,0.6198830409356725,0.4670619235836627,0.25922421948912017,0.14772727272727273,0.5971830985915493,0.8284250960307298,0.7534626038781164,0.3474320241691843
00677,0.5182648401826484,0.36515912897822445,0.07716049382716049,0.06869009584664537,0.5526315789473685,0.8521739130434782,0.5482456140350878,0.0946372239747634
00678,0.5256756756756756,0.47874149659863946,0.15668202764976957,0.09641532756489493,0.6862745098039216,0.5247208931419458,0.8560830860534124,0.37425149700598803
00680,0.4692058346839546,0.37976122797043776,0.25472747497219134,0.15195530726256984,0.7246963562753036,0.7023305084745762,0.7602799650043744,0.4289405684754522
00682,0.5827123695976155,0.46686746987951805,0.36721311475409835,0.11214230471771075,0.7526178010471204,0.890738813735692,0.7323943661971831,0.2919847328244275
00683,0.5274853801169591,0.26605504587155965,0.3492822966507177,0.07427341227125941,0.7467105263157895,0.6843575418994413,0.5977443609022557,0.16414686825053995
00685,0.5388683236382866,0.3946731234866828,0.2588726513569937,0.07194244604316546,0.6570713391739674,0.8301526717557252,0.8006329113924051,0.5321428571428571
