NAME,state,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2021,2010_to_2011_chg,2011_to_2012_chg,2012_to_2013_chg,2013_to_2014_chg,2014_to_2015_chg,2015_to_2016_chg,2016_to_2017_chg,2017_to_2018_chg,2018_to_2019_chg,2019_to_2021_chg,2010_to_2021_chg
Louisiana,22,4544228,4574836,4601893,4625470,4649676,4670724,4681666,4684333,4659978,4648794,4624047,0.0067355775282402774,0.005914310370907394,0.005123326422409313,0.005233197923670385,0.004526767026347578,0.0023426774949664164,0.000569669002444817,-0.005199246082633335,-0.0024000113305255866,-0.005323316111662479,0.01756491971793661
Maine,23,1327567,1328188,1329192,1328302,1330089,1329328,1331479,1335907,1338404,1344212,1372247,0.0004677730012874193,0.0007559170840272245,-0.0006695797145935822,0.0013453265898868416,-0.0005721421649228509,0.001618110804857853,0.003325625113126174,0.0018691420884837662,0.004339496893314809,0.020856085200846364,0.03365555184785407
Maryland,24,5785982,5828289,5884563,5928814,5976407,6006401,6016447,6052177,6042718,6045680,6165129,0.007311982650481719,0.009655320798265254,0.007519844719140467,0.008027406493102962,0.005018734500511712,0.0016725490023059564,0.005938720976017997,-0.0015629086855853958,0.000490176771446249,0.01975774437284139,0.0655285481358221
Massachusetts,25,6557254,6587536,6646144,6692824,6745408,6794422,6811779,6859819,6902149,6892503,6984723,0.00461809165848992,0.008896801474784999,0.007023621516476286,0.007856773164810482,0.007266276554361184,0.002554595519677738,0.007052489518523775,0.006170716749231975,-0.0013975357529951715,0.01337975478574327,0.06519024579496224
Michigan,26,9877574,9876187,9883360,9895622,9909877,9922576,9928300,9962311,9995915,9986857,10050811,-0.00014041909481010695,0.0007262924446449492,0.0012406711887456012,0.001440536026942052,0.0012814488010295388,0.0005768663298724164,0.0034256619965149504,0.003373112925304289,-0.0009061701705146419,0.006403816536073359,0.017538415809388086
Minnesota,27,5310584,5344861,5379139,5420380,5457173,5489594,5519952,5576606,5611179,5639632,5707390,0.0064544690376802105,0.006413263132567959,0.0076668403623703085,0.006787900479302111,0.005940988127002722,0.005530099311533698,0.010263495044884552,0.006199649033838961,0.005070770331867758,0.012014613719476763,0.07471984248813324
Mississippi,28,2970036,2978512,2984926,2991207,2994079,2992333,2988726,2984100,2986530,2976149,2949965,0.0028538374619027085,0.0021534242601675135,0.002104239770098104,0.0009601475257312586,-0.000583150945582922,-0.0012054139696350274,-0.0015478166951403693,0.0008143158741329426,-0.0034759403053041815,-0.008797946608183893,-0.006757830544814936
Missouri,29,5996231,6010688,6021988,6044171,6063589,6083672,6093000,6113532,6126452,6137428,6168187,0.002411014518953758,0.001879984454358663,0.0036836672540696558,0.0032126821031370767,0.0033120648513611517,0.0015332845031750253,0.003369768586902966,0.002113344626314184,0.0017915752869686052,0.0050117084876597495,0.028677347487113147
Montana,30,990898,998199,1005141,1015165,1023579,1032949,1042520,1050493,1062305,1068778,1104271,0.0073680641196167684,0.006954525099704512,0.009972730194072188,0.008288307812030604,0.009154154198161457,0.009265704308731637,0.007647814910025641,0.011244244369072343,0.0060933536037202085,0.03320895452563577,0.11441439986759483
Nebraska,31,1830429,1842641,1855525,1868516,1881503,1896190,1907116,1920076,1929268,1934408,1963692,0.006671660031610127,0.006992137915090346,0.007001253014645492,0.006950435532797172,0.007805993399957467,0.005762080804138758,0.006795601316333055,0.004787310502292641,0.0026642229073410295,0.01513848164399656,0.07280424425093779
Nevada,32,2704642,2723322,2758931,2790136,2839099,2890845,2940058,2998039,3034392,3080156,3143991,0.006906644206515988,0.013075574610714513,0.011310540205608621,0.017548606949625345,0.018226204862880735,0.017023742193026603,0.0197210395169074,0.01212559276246905,0.015081769263826095,0.020724599663134002,0.16244257095763515
New Hampshire,33,1316759,1318194,1320718,1323459,1326813,1330608,1334795,1342795,1356458,1359711,1388992,0.0010897969939829277,0.0019147409258424286,0.0020753862671667456,0.002534268156399344,0.0028602372753356864,0.003146681817635333,0.0059934297026884575,0.01017504533454483,0.002398157554454272,0.021534723187500937,0.05485665941907358
New Jersey,34,8801624,8821155,8864590,8899339,8938175,8958013,8944469,9005644,8908520,8882190,9267130,0.002219022307701435,0.004923958370530945,0.003919978250545242,0.004363919612456524,0.002219468739423913,-0.0015119424363416734,0.006839422217238322,-0.010784792292477863,-0.0029555975627826303,0.043338410909921965,0.05288864873118859
New Mexico,35,2065932,2082224,2085538,2085287,2085572,2085109,2081015,2088070,2095428,2096829,2115877,0.007886029162624819,0.0015915674778506084,-0.00012035263802434581,0.00013667183462029442,-0.00022200144612605222,-0.001963446515266143,0.0033901725840514985,0.00352382822414965,0.0006685984915730803,0.009084193322393075,0.024175529494678383
New York,36,19392283,19465197,19570261,19651127,19746227,19795791,19745289,19849399,19542209,19453561,19835913,0.003759949254040995,0.005397530782760729,0.004132085923636897,0.004839417098062571,0.002510049134956338,-0.002551148372904155,0.005272650098967935,-0.015476035319759607,-0.004536232316418309,0.019654602054605785,0.022876625717559884
North Carolina,37,9561558,9656401,9752073,9848060,9943964,10042802,10146788,10273419,10383620,10488084,10551162,0.009919199360606257,0.009907625004388354,0.009842727797464201,0.009738364713456349,0.00993949696519425,0.010354281603879079,0.01247990989858061,0.010726808670024957,0.01006046061007626,0.0060142538904151,0.10349819558695361
North Dakota,38,674499,683932,699628,723393,739482,756928,757953,755393,760077,762062,774948,0.013985194937279344,0.022949649965201324,0.03396805159313243,0.0222410225147327,0.02359219020882186,0.0013541578591358405,-0.0033775181310714553,0.006200745836935306,0.002611577511225871,0.016909385325603488,0.14892386793753576
Ohio,39,11536182,11544951,11544225,11570808,11594163,11613423,11614373,11658609,11689442,11689100,11780017,0.0007601301713167086,-6.288463242498654e-05,0.0023027097964567478,0.0020184415816077994,0.001661180716538091,8.180189423900863e-05,0.003808729063549121,0.0026446551213785696,-2.9257170701568747e-05,0.007777929866285671,0.021136542401983593
Oklahoma,40,3761702,3791508,3814820,3850568,3878051,3911338,3923561,3930864,3943079,3956971,3986639,0.007923540992880396,0.006148477070337277,0.00937082221441643,0.007137388561895275,0.008583435339040157,0.003125017577105371,0.0018613193473988598,0.0031074593270079554,0.0035231350931594907,0.007497654139997589,0.059796602708029445
Oregon,41,3838957,3871859,3899353,3930065,3970239,4028977,4093465,4142776,4190713,4217737,4246155,0.008570557054950134,0.007100981724799338,0.007876178432678405,0.010222222787663826,0.01479457533916717,0.01600604818543272,0.01204627375585221,0.011571226636438947,0.006448544674856116,0.006737736373794823,0.10606995598023117
Pennsylvania,42,12709630,12742886,12763536,12773801,12787209,12802503,12784227,12805537,12807060,12801989,12964056,0.0026165985949238024,0.0016205120252978933,0.0008042442157094598,0.0010496484170998688,0.0011960389479830358,-0.001427533350314425,0.0016668978108727028,0.00011893292721731896,-0.00039595348190768487,0.012659517204709259,0.020018364027906355
Rhode Island,44,1052886,1051302,1050292,1051511,1055173,1056298,1056426,1059639,1057315,1059361,1095610,-0.0015044363777274583,-0.0009607134771930648,0.001160629615383213,0.0034826074097180637,0.001066175878268405,0.00012117792516885828,0.0030413867133145533,-0.002193199759540798,0.0019350902994850205,0.03421779733254282,0.04057799229926129
South Carolina,45,4636312,4679230,4723723,4774839,4832482,4896146,4961119,5024369,5084127,5148714,5190705,0.009256926626163287,0.009508615733785364,0.01082112562485138,0.012072239503782223,0.01317418254222158,0.01327023336313915,0.012749139861390146,0.011893632812398858,0.012703655907887468,0.008155628764775047,0.11957629253596402
South Dakota,46,816463,824082,833354,844877,853175,858469,865454,869666,882235,884659,895376,0.009331714970549854,0.011251307515514286,0.013827257084024325,0.009821547988642099,0.006205057579042883,0.008136578024366736,0.004866809790006199,0.01445267493497493,0.0027475672581569466,0.012114272278923366,0.09665226715723807
Tennessee,47,6356897,6403353,6456243,6495978,6549352,6600299,6651194,6715984,6770010,6829174,6975218,0.007307968022763234,0.008259735173119509,0.006154508124926572,0.008216468713410086,0.00777893751931491,0.007711014304048858,0.009741108137877097,0.008044390814510471,0.008739130370560844,0.021385309555738363,0.09726773927593912
Texas,48,25257114,25674681,26059203,26448193,26956958,27469114,27862596,28304596,28701845,28995881,29527941,0.016532648979610265,0.014976700197365744,0.014927164119332481,0.019236285821114585,0.018999028006053242,0.014324524627914892,0.015863561313525842,0.014034787848588248,0.010244498219539544,0.01834950281386516,0.16909402238117943
Utah,49,2776469,2817222,2855287,2900872,2942902,2995919,3051217,3101833,3161105,3205958,3337975,0.01467799568444672,0.013511537251945427,0.01596512014378937,0.014488746831986976,0.018015210836106688,0.018457775393794007,0.016588790636654194,0.019108701209897605,0.014189025672984634,0.041178643014038174,0.20223744619514927
Vermont,50,625960,626431,626011,626630,626562,626042,624594,623657,626299,623989,645570,0.0007524442456388059,-0.0006704649035568222,0.0009888005162848046,-0.00010851698769609452,-0.0008299258493174033,-0.0023129438599965857,-0.0015001745133639277,0.004236302967817185,-0.003688334166268792,0.03458554557852778,0.031327880375742856
Virginia,51,8024617,8096604,8185867,8260405,8326289,8382993,8411808,8470020,8517685,8535519,8642274,0.008970770816850271,0.011024745683498871,0.00910569399673844,0.00797588011725825,0.006810236829396521,0.0034373164811183354,0.006920272074683487,0.0056274955667166005,0.002093761391739557,0.012507148071488006,0.0769702778338206
Washington,53,6744496,6830038,6897012,6971406,7061530,7170351,7288000,7405743,7535591,7614893,7738692,0.012683230889305896,0.009805801958934879,0.01078641011498882,0.012927664806783534,0.01541039972923719,0.01640770444849915,0.016155735455543274,0.017533419671733164,0.010523660320736594,0.016257483854336563,0.14740849427444247
West Virginia,54,1853973,1855364,1855413,1854304,1850326,1844128,1831102,1815857,1805832,1792147,1782959,0.0007502806135795126,2.640991201730003e-05,-0.0005977105905801139,-0.002145279306952852,-0.0033496800023347095,-0.007063501015113882,-0.008325587542365231,-0.005520809182661401,-0.00757822433094546,-0.005126811584094337,-0.038303686191762276
Wisconsin,55,5691047,5711767,5726398,5742713,5757564,5771337,5778709,5795483,5813568,5822434,5895908,0.00364080634020425,0.0025615540689947203,0.002849085934997886,0.0025860599336933188,0.0023921575166163667,0.0012773469994906694,0.002902724466658624,0.0031205336983992638,0.0015250531171218107,0.012619121144181289,0.03599706697203531
Wyoming,56,564460,568158,576412,582658,584153,586107,585501,579315,577737,578759,578803,0.006551394252914289,0.014527648999046017,0.010835999250536021,0.002565827638168594,0.0033450140630963965,-0.001033940901576047,-0.010565310733884337,-0.002723906682892685,0.001768971002376496,7.602473568435464e-05,0.025410126492577012
Puerto Rico,72,3722133,3706690,3667084,3615086,3548397,3474182,3411307,3337177,3195153,3193694,3263584,-0.0041489651229550395,-0.010685004680725974,-0.014179658824286512,-0.01844741729519017,-0.02091507799155501,-0.018097785320400628,-0.02173067390299377,-0.04255812622465038,-0.00045662915046629227,0.02188374966418194,-0.12319522166456709
