NAME,state,population_2016,population_2021,2016_to_2021_population_chg
25529,54,1109.0,855.0,-0.22903516681695224
25559,54,2033.0,1675.0,-0.17609444171175603
25611,54,1189.0,1032.0,-0.1320437342304458
25624,54,240.0,319.0,0.3291666666666666
25625,54,1504.0,1141.0,-0.24135638297872342
25634,54,523.0,1237.0,1.3652007648183555
25674,54,2762.0,1771.0,-0.3587979724837075
25676,54,1244.0,1028.0,-0.1736334405144695
25702,54,7725.0,7586.0,-0.01799352750809058
25832,54,4639.0,4060.0,-0.12481138176331108
25845,54,891.0,394.0,-0.5578002244668911
25846,54,273.0,77.0,-0.717948717948718
25704,54,16573.0,15240.0,-0.08043202799734506
25826,54,219.0,468.0,1.1369863013698631
25849,54,718.0,274.0,-0.6183844011142061
25864,54,228.0,0.0,-1.0
25904,54,337.0,548.0,0.6261127596439169
25958,54,774.0,760.0,-0.018087855297157618
25882,54,2190.0,2353.0,0.07442922374429228
25907,54,103.0,166.0,0.6116504854368932
25920,54,112.0,491.0,3.383928571428571
25951,54,5681.0,5637.0,-0.0077451152966027115
25962,54,3555.0,2786.0,-0.21631504922644162
25045,54,5064.0,4271.0,-0.15659557661927326
25063,54,1663.0,1890.0,0.13650030066145513
25081,54,1043.0,1461.0,0.4007670182166827
20645,24,1029.0,711.0,-0.30903790087463556
20674,24,609.0,1102.0,0.8095238095238095
20754,24,6757.0,7108.0,0.05194612993932224
20758,24,425.0,633.0,0.48941176470588243
20625,24,828.0,1065.0,0.28623188405797095
20755,24,9730.0,11253.0,0.1565262076053442
20860,24,2741.0,2237.0,-0.18387449835826342
20676,24,4234.0,3036.0,-0.28294756731223425
20777,24,3464.0,3312.0,-0.04387990762124716
20833,24,7471.0,8054.0,0.07803506893320833
20912,24,26221.0,26120.0,-0.0038518744517752612
20052,11,431.0,3581.0,7.308584686774942
20057,11,3697.0,3914.0,0.05869624019475239
20064,11,2125.0,1873.0,-0.11858823529411766
20317,11,460.0,0.0,-1.0
20373,11,119.0,437.0,2.672268907563025
20390,11,540.0,404.0,-0.2518518518518519
24579,51,1718.0,902.0,-0.47497089639115253
24595,51,587.0,614.0,0.04599659284497437
24599,51,806.0,655.0,-0.1873449131513648
24724,54,61.0,108.0,0.7704918032786885
24731,54,272.0,119.0,-0.5625
24736,54,481.0,698.0,0.4511434511434511
24813,54,347.0,0.0,-1.0
24862,54,462.0,521.0,0.12770562770562766
