NAME,state,population_2015,population_2020,2015_to_2020_chg
21530,24,1808,1923,0.06360619469026552
21536,24,3967,3984,0.004285354171918332
21539,24,2418,2664,0.1017369727047146
21541,24,1240,1536,0.2387096774193549
21612,24,400,597,0.49249999999999994
21619,24,6036,5789,-0.040921139827700515
21620,24,12860,12989,0.010031104199066831
21634,24,337,243,-0.27893175074183973
21635,24,2389,1970,-0.17538719129342817
21648,24,308,126,-0.5909090909090908
21650,24,70,296,3.2285714285714286
21651,24,3010,2683,-0.10863787375415279
21653,24,66,96,0.4545454545454546
21659,24,1492,1509,0.011394101876675666
21664,24,759,497,-0.3451910408432147
21665,24,335,194,-0.4208955223880597
21673,24,3208,3019,-0.058915211970074766
21676,24,486,367,-0.24485596707818935
21710,24,4986,4847,-0.02787805856397918
21737,24,1995,2476,0.2411027568922306
21742,24,32854,33425,0.0173799232970111
21005,24,2351,2724,0.15865589111016587
21015,24,28146,28975,0.029453563561429696
21043,24,44661,46747,0.046707418105282006
21053,24,3284,3134,-0.04567600487210721
21076,24,15032,17947,0.19391963810537516
21084,24,7287,7670,0.052559352271167814
21113,24,32025,35210,0.09945355191256833
21136,24,33328,34347,0.030574891982717345
21144,24,34008,35680,0.049164902375911534
21152,24,5905,5349,-0.09415749364944959
21210,24,15186,16076,0.05860661135256162
21239,24,31849,30143,-0.05356526107570092
21523,24,235,180,-0.23404255319148937
21529,24,481,467,-0.029106029106029108
21532,24,15749,14498,-0.07943361483268774
21601,24,23920,23338,-0.024331103678929766
21613,24,17604,17115,-0.02777777777777779
21701,24,35968,38390,0.06733763345195731
21702,24,39608,41729,0.05354978792163201
21704,24,15455,16478,0.06619217081850537
21716,24,5071,5453,0.07533030960362841
21722,24,5511,6389,0.15931772818000356
21727,24,6483,6965,0.07434829554218725
23435,51,27895,32137,0.1520702634880804
23480,51,297,309,0.04040404040404044
23661,51,13763,12947,-0.059289399113565344
23662,51,12027,12085,0.004822482747152135
36064,01,8944,10574,0.18224508050089439
36083,01,8515,7187,-0.15596007046388727
36107,01,7541,7782,0.031958626176899596
36110,01,12868,11864,-0.07802300279763752
36205,01,461,718,0.5574837310195229
36272,01,12229,13012,0.06402812985526207
36278,01,4126,4271,0.03514299563742118
36310,01,6470,6258,-0.032766615146831546
36312,01,6707,6352,-0.05292977486208439
36313,01,256,201,-0.21484375
36344,01,5883,5564,-0.05422403535611087
36373,01,525,476,-0.09333333333333338
36375,01,6856,6884,0.0040840140023337135
36801,01,24273,25127,0.035183125283236416
36804,01,16106,20356,0.2638768160933813
36830,01,36303,40141,0.10572129025149435
36852,01,2437,3314,0.35986869101354113
36860,01,1525,1890,0.23934426229508188
36870,01,20057,18435,-0.08086952186269136
36912,01,2001,1813,-0.09395302348825585
36921,01,1030,814,-0.20970873786407762
36922,01,361,651,0.8033240997229918
36481,01,394,258,-0.3451776649746193
36569,01,1036,445,-0.5704633204633205
36732,01,8292,7628,-0.08007718282682108
36849,01,3539,4228,0.19468776490534045
36919,01,1933,1707,-0.11691670977754787
36006,01,1439,1571,0.0917303683113273
36374,01,1010,643,-0.36336633663366336
36507,01,19760,21598,0.09301619433198383
36052,01,401,620,0.546134663341646
36092,01,19739,20805,0.05400476214600536
36273,01,3620,3132,-0.13480662983425418
36038,01,68,19,-0.7205882352941176
36082,01,1286,1004,-0.21928460342146194
36112,01,392,262,-0.33163265306122447
36321,01,1726,1898,0.09965237543453065
36421,01,8690,10870,0.25086306098964317
36439,01,722,508,-0.29639889196675895
36454,01,33,7,-0.7878787878787878
36512,01,0,12,inf
36543,01,134,55,-0.5895522388059702
36555,01,696,870,0.25
36568,01,124,108,-0.12903225806451613
36616,01,0,8,inf
36688,01,337,232,-0.3115727002967359
36753,01,27,26,-0.03703703703703709
36766,01,20,23,0.1499999999999999
36859,01,63,14,-0.7777777777777778
36865,01,30,59,0.9666666666666666
36913,01,77,50,-0.35064935064935066
36108,01,20831,16247,-0.2200566463443906
36256,01,1900,1325,-0.3026315789473685
36115,01,785,994,0.26624203821656045
36323,01,8183,7863,-0.03910546254429914
36528,01,1319,1610,0.22062168309325236
37918,47,44654,45107,0.010144667890894521
39476,28,7432,7439,0.0009418729817007865
39531,28,17468,16892,-0.032974582092969995
39562,28,17110,17447,0.01969608416130919
39572,28,1460,973,-0.3335616438356165
39629,28,6274,6736,0.07363723302518332
39630,28,905,1101,0.21657458563535914
39189,28,4585,3915,-0.14612868047982552
39045,28,1226,1825,0.48858075040783033
39056,28,26218,25357,-0.032840033564726534
39113,28,634,589,-0.07097791798107256
39119,28,6686,4733,-0.2921029015854023
39120,28,32148,30733,-0.04401517979345526
39191,28,7585,8252,0.08793671720500984
39201,28,512,918,0.79296875
39204,28,20038,15933,-0.20486076454736002
39208,28,32366,32926,0.017302107149477886
39305,28,20068,20419,0.017490532190552077
39307,28,18964,16926,-0.10746677916051461
39322,28,1371,2054,0.4981765134938001
39330,28,2504,2450,-0.021565495207667706
39347,28,1622,1402,-0.13563501849568438
39366,28,1486,879,-0.4084791386271871
39461,28,648,463,-0.2854938271604939
39470,28,12308,11978,-0.02681182970425744
39478,28,2424,1961,-0.19100660066006603
39483,28,6525,5943,-0.08919540229885059
39563,28,13734,13396,-0.024610455803116382
39571,28,13875,13709,-0.01196396396396393
39581,28,11054,10639,-0.03754297087027325
39631,28,3381,3442,0.018041999408459075
39648,28,22243,20349,-0.08515038439059475
39096,28,1657,2346,0.41581170790585387
39110,28,39909,43336,0.08587035505775642
39111,28,9804,8929,-0.08924928600571191
39115,28,25,184,6.36
39140,28,2222,2364,0.063906390639064
39144,28,1072,787,-0.26585820895522383
39145,28,4498,5293,0.17674522009782123
39157,28,24793,24811,0.0007260113741782703
39159,28,3464,3133,-0.09555427251732107
39180,28,33365,31720,-0.04930316199610374
39202,28,8262,7836,-0.05156136528685551
39206,28,25258,23641,-0.06401932061129145
39039,28,1505,2108,0.4006644518272424
39041,28,3614,3889,0.07609297177642493
39051,28,16328,16199,-0.00790053895149434
39078,28,976,673,-0.3104508196721312
39088,28,183,82,-0.5519125683060109
39663,28,3171,2424,-0.2355723746452223
39348,28,743,489,-0.34185733512786
39327,28,4411,4044,-0.08320108818861938
39337,28,1842,1714,-0.06948968512486431
39358,28,2050,1335,-0.348780487804878
39359,28,314,301,-0.04140127388535031
39362,28,2669,3994,0.49644061446234544
39367,28,14505,14522,0.0011720096518441636
39422,28,5416,4330,-0.2005169867060561
39117,28,10571,10354,-0.02052785923753664
42356,21,91,94,0.03296703296703307
42367,21,604,694,0.14900662251655628
42758,21,107,85,-0.20560747663551404
42764,21,504,381,-0.24404761904761907
42078,21,1800,1730,-0.03888888888888886
42083,21,308,406,0.3181818181818181
42084,21,191,18,-0.9057591623036649
42085,21,760,778,0.023684210526315752
42087,21,2295,2636,0.14858387799564277
42120,21,2881,3103,0.07705657757723006
42129,21,6860,6553,-0.04475218658892133
42134,21,16908,17637,0.043115684882895744
42157,21,288,720,1.5
42207,21,1447,1159,-0.19903248099516235
42214,21,492,730,0.4837398373983739
42215,21,1489,1495,0.004029550033579632
42217,21,3629,3099,-0.14604574262882342
42275,21,720,854,0.18611111111111112
42463,21,113,115,0.017699115044247815
42724,21,3992,5588,0.3997995991983967
43160,39,22431,21529,-0.04021220632160849
43201,39,30586,33792,0.10481919832603159
43213,39,32570,32807,0.007276634940128979
43220,39,26339,28019,0.0637837427389043
43321,39,338,272,-0.1952662721893491
43338,39,10113,10483,0.03658657173934543
43351,39,10698,10678,-0.0018695083193119855
43357,39,4436,4123,-0.07055906221821462
43360,39,1684,1642,-0.02494061757719712
43046,39,3891,3463,-0.10999742996658957
43010,39,371,290,-0.21832884097035044
43028,39,7938,8041,0.012975560594608249
43033,39,403,431,0.0694789081885856
43054,39,23358,26953,0.1539087250620772
43060,39,2545,2758,0.08369351669941061
43074,39,11981,14298,0.19338953342792764
43082,39,31425,35244,0.12152744630071588
43084,39,791,750,-0.05183312262958284
43103,39,11782,11346,-0.037005601765404905
43106,39,1636,1660,0.014669926650366705
43116,39,1517,1992,0.3131179960448254
43119,39,28115,27424,-0.024577627600924745
43123,39,61803,66649,0.07841043315049423
43140,39,24424,24352,-0.0029479200786112214
43143,39,5498,5361,-0.024918152055292797
43146,39,12303,13356,0.08558888076079008
43209,39,28790,29013,0.0077457450503646275
43222,39,3918,4992,0.2741194486983154
43331,39,4450,4344,-0.02382022471910117
43332,39,1577,1566,-0.0069752694990488084
43006,39,558,543,-0.026881720430107503
43462,39,1004,1243,0.23804780876494025
43465,39,5482,5259,-0.04067858445822692
43004,39,24464,27972,0.14339437540876387
43009,39,2142,2226,0.03921568627450989
43466,39,2264,2424,0.07067137809187285
43333,39,675,720,0.06666666666666665
43334,39,7000,6080,-0.13142857142857145
45147,39,48,208,3.333333333333333
45158,39,375,426,0.1359999999999999
45166,39,155,69,-0.5548387096774193
45319,39,426,327,-0.23239436619718312
45350,39,124,60,-0.5161290322580645
45361,39,326,338,0.036809815950920255
45372,39,440,307,-0.30227272727272725
45428,39,324,353,0.08950617283950613
45868,39,682,667,-0.021994134897360684
45617,39,253,200,-0.20948616600790515
45821,39,1325,892,-0.32679245283018865
45876,39,766,779,0.016971279373368064
45860,39,2181,2517,0.15405777166437407
45861,39,123,356,1.894308943089431
45871,39,2015,2036,0.01042183622828774
45888,39,187,281,0.5026737967914439
45213,39,12598,10927,-0.1326401016034291
45223,39,12634,11585,-0.0830299192654741
45224,39,20295,21337,0.05134269524513435
45243,39,15040,15545,0.033577127659574435
45244,39,28709,28755,0.0016022849977359588
45251,39,23157,21098,-0.08891479898086974
45252,39,4818,4975,0.03258613532586141
45303,39,2208,2200,-0.0036231884057971175
45304,39,7442,7073,-0.049583445310400376
45320,39,15319,15304,-0.0009791761864351711
45336,39,178,129,-0.2752808988764045
45341,39,3727,3403,-0.08693319023343171
45342,39,36652,35630,-0.027883880825057328
45353,39,214,171,-0.2009345794392523
45365,39,30341,30024,-0.010447908770310765
45382,39,1347,1187,-0.11878247958426136
45403,39,15934,13275,-0.1668758629346052
45415,39,12684,12653,-0.0024440239672027797
45424,39,50467,51344,0.017377692353419016
45431,39,26961,27145,0.006824672675345811
45433,39,2751,2519,-0.08433296982915306
45434,39,12105,12059,-0.003800082610491584
45439,39,9905,10496,0.05966683493185254
45502,39,15982,15291,-0.04323614065824055
45503,39,32585,32250,-0.01028080405094367
45623,39,3145,3357,0.06740858505564384
45867,39,879,1058,0.2036405005688282
45872,39,4206,4641,0.10342368045649075
45889,39,1627,1518,-0.06699446834665024
45383,39,7462,7094,-0.04931653712141515
45322,39,21166,22218,0.049702352830010454
45330,39,895,800,-0.1061452513966481
45354,39,518,637,0.22972972972972983
45404,39,10119,10541,0.04170372566459135
45405,39,17848,18133,0.01596817570596154
45621,39,395,300,-0.240506329113924
45622,39,193,48,-0.7512953367875648
45624,39,0,29,inf
45628,39,4456,5601,0.2569569120287254
45681,39,1910,1525,-0.20157068062827221
45631,39,14875,14166,-0.04766386554621849
45654,39,989,1038,0.04954499494438824
45661,39,7483,7138,-0.04610450354136042
47126,18,4294,4406,0.02608290638099664
47138,18,4716,4834,0.02502120441051736
47142,18,997,899,-0.09829488465396186
47145,18,2003,2154,0.0753869196205692
47147,18,1209,949,-0.21505376344086025
47166,18,1555,1108,-0.287459807073955
47224,18,537,732,0.3631284916201116
47244,18,674,646,-0.041543026706231445
47274,18,30234,30891,0.021730502083746828
47020,18,1309,1447,0.10542398777692896
47034,18,130,125,-0.038461538461538436
47994,18,358,349,-0.025139664804469275
47713,18,10202,10205,0.000294059988237505
47840,18,1881,2123,0.12865497076023402
47855,18,407,658,0.6167076167076166
47862,18,1532,1394,-0.09007832898172319
47874,18,3505,3356,-0.042510699001426566
47926,18,892,1362,0.5269058295964126
47394,18,8303,7823,-0.05781042996507291
47380,18,1916,1485,-0.22494780793319413
47385,18,1754,1691,-0.03591790193842648
47615,18,1526,1873,0.22739187418086493
47471,18,2453,3028,0.23440684875662443
47520,18,3145,2813,-0.10556438791732914
47553,18,8677,8365,-0.035957128039645014
47528,18,540,516,-0.0444444444444444
47542,18,9853,9913,0.006089515883487273
47550,18,929,610,-0.3433799784714747
47578,18,731,681,-0.06839945280437754
47584,18,155,121,-0.21935483870967742
47598,18,3471,3130,-0.09824258138864883
47601,18,14153,13566,-0.041475305588921096
47638,18,3628,3727,0.02728776185226023
47712,18,26744,26921,0.006618306909961014
47836,18,38,0,-1.0
47841,18,2063,2670,0.29423170140571986
47847,18,1062,1118,0.052730696798493515
47848,18,1647,1531,-0.07043108682452948
47849,18,424,563,0.3278301886792452
47860,18,367,605,0.6485013623978202
47861,18,575,608,0.05739130434782602
47866,18,395,504,0.2759493670886075
47881,18,456,346,-0.24122807017543857
47904,18,16713,16484,-0.013701908693831144
47905,18,40834,42907,0.05076651809766375
48003,26,5911,5837,-0.012519032312637401
48015,26,8306,8212,-0.011317120154105464
48022,26,2618,2622,0.0015278838808250317
48025,26,14687,14777,0.006127868182746576
48026,26,14582,14503,-0.00541763818406249
48030,26,16600,16452,-0.008915662650602396
48034,26,13807,14213,0.029405374085608837
48038,26,42074,44322,0.05342967153111178
48039,26,7679,7556,-0.016017710639406157
48041,26,4569,4370,-0.043554388268767785
48065,26,11007,11236,0.02080494230943941
48071,26,30123,30000,-0.004083258639577703
48890,26,2102,1976,-0.05994291151284492
48911,26,39605,40924,0.03330387577326088
69140,31,1834,1815,-0.01035986913849507
69144,31,180,121,-0.3277777777777777
69149,31,707,789,0.11598302687411599
69154,31,1199,1266,0.05587989991659725
69169,31,621,517,-0.16747181964573266
69219,31,174,113,-0.3505747126436781
69331,31,24,98,3.083333333333333
69022,31,1540,1793,0.16428571428571437
69026,31,237,167,-0.2953586497890295
69036,31,47,132,1.8085106382978724
58476,38,315,342,0.08571428571428563
58357,38,385,365,-0.051948051948051965
58365,38,287,218,-0.24041811846689898
58368,38,3901,3427,-0.1215073058190208
58379,38,422,360,-0.14691943127962082
58385,38,214,232,0.08411214953271018
58415,38,146,215,0.4726027397260273
58420,38,348,254,-0.2701149425287356
58422,38,202,114,-0.4356435643564357
58444,38,264,127,-0.5189393939393939
58448,38,246,296,0.2032520325203253
58464,38,274,199,-0.27372262773722633
58478,38,132,121,-0.08333333333333337
58479,38,190,174,-0.08421052631578951
58480,38,262,249,-0.04961832061068705
62323,17,185,188,0.016216216216216273
58251,38,2189,1955,-0.10689812699862955
58741,38,557,646,0.15978456014362652
58750,38,651,386,-0.4070660522273426
58763,38,4213,4001,-0.050320436743413244
58769,38,287,277,-0.03484320557491294
58781,38,636,695,0.09276729559748431
58784,38,2862,3262,0.13976240391334738
58787,38,146,140,-0.04109589041095896
58830,38,282,242,-0.14184397163120566
58833,38,67,209,2.1194029850746268
58835,38,397,580,0.4609571788413098
58575,38,831,796,-0.04211793020457277
58580,38,338,318,-0.059171597633136064
58639,38,1755,1725,-0.017094017094017144
58640,38,1604,1436,-0.10473815461346636
58646,38,1198,1114,-0.07011686143572626
58652,38,1295,1371,0.05868725868725866
58712,38,153,77,-0.49673202614379086
58722,38,1637,1685,0.029321930360415305
58727,38,340,173,-0.4911764705882353
58760,38,289,257,-0.11072664359861595
58783,38,383,405,0.05744125326370764
58801,38,25758,32297,0.25386287755260506
58838,38,179,237,0.3240223463687151
58366,38,1265,1202,-0.04980237154150202
58367,38,1646,1707,0.037059538274605064
58369,38,1279,1308,0.022673964034401806
58418,38,297,355,0.19528619528619529
58458,38,1289,1203,-0.06671838634600469
58463,38,538,586,0.08921933085501865
58482,38,1040,1070,0.028846153846153744
58486,38,183,226,0.23497267759562845
58544,38,618,544,-0.11974110032362462
71766,05,677,786,0.16100443131462328
71801,05,16903,17268,0.021593799917174472
71937,05,1879,2199,0.17030335284725928
71969,05,367,252,-0.31335149863760214
71108,22,20100,18943,-0.05756218905472632
71241,22,9768,9862,0.009623259623259717
71652,05,1097,1236,0.12670920692798537
71069,22,507,670,0.3214990138067062
71235,22,4247,4198,-0.011537555921827147
71016,22,1811,1792,-0.01049144119271117
59833,30,5233,5444,0.040321039556659555
59834,30,1756,2161,0.23063781321184518
59842,30,52,91,0.75
59843,30,250,295,0.17999999999999994
59846,30,1026,1236,0.20467836257309946
59868,30,1571,1963,0.2495225970719288
59875,30,3821,3895,0.019366657942946786
59910,30,572,455,-0.20454545454545459
59918,30,725,808,0.11448275862068957
59920,30,1817,1630,-0.10291689598238851
59745,30,137,67,-0.5109489051094891
59716,30,2300,2477,0.07695652173913037
59725,30,8010,8018,0.0009987515605494046
59733,30,263,234,-0.11026615969581754
59823,30,1609,1840,0.14356743318831566
59837,30,348,560,0.6091954022988506
59457,30,9200,9058,-0.015434782608695685
59464,30,416,418,0.004807692307692291
59477,30,579,390,-0.3264248704663213
59542,30,166,204,0.22891566265060237
59546,30,66,135,1.0454545454545454
59631,30,238,278,0.16806722689075637
59710,30,256,243,-0.05078125
59720,30,246,126,-0.4878048780487805
59749,30,1507,2080,0.38022561380225617
60073,17,61118,61856,0.012075002454268846
60077,17,28053,27653,-0.01425872455708832
60089,17,41594,40749,-0.020315430110112054
60110,17,39334,39094,-0.006101591498449133
60115,17,45982,45143,-0.018246270279674626
60118,17,15681,16040,0.02289394809004519
60010,17,44331,46326,0.04500236854571282
60016,17,61096,59663,-0.023454890663873296
60022,17,8486,8245,-0.02839971718123968
60035,17,29806,29604,-0.0067771589612829475
60072,17,910,1020,0.1208791208791209
60081,17,9874,9532,-0.034636418877861064
60099,17,31147,30145,-0.03217003242687899
60102,17,32813,32749,-0.0019504464693871348
60106,17,20083,20246,0.008116317283274332
60129,17,163,220,0.3496932515337423
60135,17,6807,6994,0.027471720287938872
60146,17,2587,2235,-0.13606494008504055
60151,17,4263,4248,-0.0035186488388458947
60154,17,16833,16255,-0.03433731361017045
60901,17,36277,35432,-0.023292995561926322
60917,17,537,492,-0.08379888268156421
60921,17,1231,1627,0.32168968318440294
60002,17,24340,23914,-0.017502054231717357
70651,22,196,238,0.2142857142857142
70657,22,5283,4300,-0.1860685216732917
70753,22,940,944,0.004255319148936065
70783,22,2906,2500,-0.13971094287680663
70809,22,24399,26306,0.07815894094020237
70812,22,10798,12341,0.14289683274680498
70397,22,1192,894,-0.25
70427,22,19817,19327,-0.02472624514305899
70443,22,9671,8897,-0.08003308861544822
70446,22,6941,7241,0.04322143783316523
57256,46,86,172,1.0
57042,46,9342,9348,0.0006422607578677741
57035,46,1171,1306,0.1152860802732707
57037,46,952,943,-0.009453781512605008
57041,46,141,47,-0.6666666666666667
57046,46,714,887,0.24229691876750703
57055,46,986,1367,0.3864097363083163
57070,46,1398,1399,0.0007153075822603494
57072,46,565,659,0.16637168141592928
57076,46,271,487,0.7970479704797049
57104,46,25860,26217,0.013805104408352697
57223,46,1280,1217,-0.04921874999999998
57231,46,1712,1731,0.011098130841121545
57262,46,5463,5314,-0.027274391360058603
57018,46,1357,1470,0.08327192336035383
57025,46,3008,2894,-0.03789893617021278
57105,46,22710,22647,-0.002774108322324942
57213,46,490,712,0.453061224489796
57216,46,1056,1203,0.13920454545454541
57260,46,1073,1112,0.0363466915191053
57315,46,1148,1271,0.1071428571428572
57329,46,288,410,0.42361111111111116
57017,46,1515,1357,-0.10429042904290431
57465,46,365,371,0.016438356164383494
59538,30,2958,2779,-0.06051386071670051
59544,30,206,166,-0.19417475728155342
59008,30,361,519,0.43767313019390586
59024,30,526,334,-0.3650190114068441
59027,30,764,721,-0.05628272251308897
59041,30,1859,1971,0.0602474448628294
59344,30,376,446,0.18617021276595747
59414,30,1151,836,-0.2736750651607298
59416,30,509,268,-0.47347740667976423
59444,30,327,262,-0.19877675840978593
59462,30,137,159,0.16058394160583944
59465,30,36,35,-0.02777777777777779
59483,30,384,621,0.6171875
59520,30,1245,1093,-0.12208835341365465
59522,30,1713,1908,0.11383537653239939
59535,30,59,80,0.35593220338983045
59601,30,29942,32165,0.07424353750584456
59643,30,624,302,-0.516025641025641
59711,30,9018,8855,-0.01807496118873364
59001,30,1473,1574,0.06856754921928032
59002,30,250,197,-0.21199999999999997
59011,30,3064,3083,0.006201044386422883
59019,30,4161,4275,0.027397260273972712
59026,30,236,177,-0.25
59034,30,5577,5348,-0.041061502599964106
71857,05,5566,4849,-0.12881782249371188
71862,05,502,701,0.39641434262948216
71037,22,19564,18845,-0.03675117562870578
71061,22,1650,1540,-0.06666666666666665
71103,22,8078,6572,-0.1864322852191136
71106,22,36106,36713,0.01681161025868283
71107,22,32632,35048,0.07403775435155668
71112,22,32625,34921,0.07037547892720308
71129,22,12808,12789,-0.001483447845096797
71222,22,3185,3057,-0.040188383045525855
57014,46,1337,1579,0.18100224382946895
57021,46,340,408,0.19999999999999996
57073,46,802,648,-0.1920199501246883
57218,46,386,285,-0.26165803108808294
57237,46,554,658,0.18772563176895307
57241,46,959,1012,0.05526590198123049
57217,46,283,249,-0.12014134275618371
57541,46,178,163,-0.0842696629213483
57601,46,3824,3974,0.03922594142259417
57754,46,3566,3736,0.04767246214245646
57646,46,297,324,0.09090909090909083
57755,46,118,107,-0.09322033898305082
57242,46,353,482,0.36543909348441916
57245,46,97,182,0.8762886597938144
57246,46,153,210,0.37254901960784315
57264,46,229,282,0.23144104803493448
57278,46,917,877,-0.043620501635768805
57322,46,420,300,-0.2857142857142857
57349,46,1561,1330,-0.14798206278026904
57370,46,791,700,-0.11504424778761058
57455,46,59,119,1.0169491525423728
57544,46,520,465,-0.10576923076923073
57649,46,261,314,0.2030651340996168
57724,46,240,251,0.04583333333333339
57794,46,955,281,-0.705759162303665
57005,46,11285,11576,0.025786442179884794
57359,46,661,621,-0.06051437216338884
57427,46,900,562,-0.37555555555555553
57448,46,397,408,0.027707808564231717
57522,46,387,639,0.6511627906976745
57269,46,440,241,-0.45227272727272727
57117,46,51,2,-0.9607843137254902
57197,46,921,1008,0.09446254071661242
57429,46,98,63,-0.3571428571428571
57439,46,30,37,0.2333333333333334
57630,46,50,27,-0.45999999999999996
57639,46,413,372,-0.09927360774818406
57741,46,68,154,1.2647058823529411
57782,46,56,42,-0.25
57236,46,49,150,2.061224489795918
57016,46,691,879,0.27206946454413883
57054,46,486,651,0.3395061728395061
57110,46,14662,18470,0.25971900150047733
57270,46,940,834,-0.1127659574468085
57276,46,1227,1222,-0.004074979625101838
57312,46,496,619,0.247983870967742
57323,46,193,285,0.4766839378238341
57328,46,1061,1345,0.2676720075400565
53233,55,15731,14850,-0.05600406839997463
53402,55,32679,33780,0.03369136142476825
53520,55,6522,6670,0.02269242563630791
53546,55,31440,30123,-0.04188931297709919
53562,55,24904,26490,0.06368454866688089
53563,55,10679,11282,0.05646596123232506
53588,55,4013,3930,-0.020682780961873926
53589,55,19919,20300,0.019127466238265
53713,55,23734,22726,-0.04247071711468775
53717,55,12227,12859,0.051688885253946104
55378,27,28734,31829,0.10771211804830516
55395,27,2857,2595,-0.0917045852292615
55396,27,2137,2175,0.017781937295273664
55397,27,2672,3020,0.13023952095808378
55398,27,15865,17039,0.07399936968168919
55401,27,7573,10942,0.4448699326554866
55406,27,33846,33709,-0.004047745671571179
55411,27,30208,31685,0.04889433262711873
55420,27,22430,22215,-0.009585376727596961
55421,27,27652,28784,0.040937364385939645
55313,27,23413,25150,0.07418955281254003
55327,27,3598,3925,0.09088382434685927
55332,27,1553,1761,0.1339343206696717
55333,27,938,839,-0.10554371002132201
55335,27,1688,1570,-0.06990521327014221
55339,27,992,1016,0.024193548387096753
55358,27,5102,5031,-0.01391611132889059
55363,27,4567,5240,0.1473615064593825
55416,27,30707,32956,0.0732406291725014
55373,27,5644,5590,-0.009567682494684648
55381,27,2049,1987,-0.03025866276232303
55385,27,1322,1300,-0.016641452344931973
55417,27,25725,26035,0.012050534499514098
55970,27,992,1161,0.1703629032258065
55976,27,7670,7948,0.03624511082138193
55977,27,233,174,-0.2532188841201717
55992,27,4907,5319,0.08396168738536791
55442,27,13169,12681,-0.037056724124838625
55425,27,9958,10260,0.03032737497489446
55433,27,33966,34461,0.014573396926338189
55434,27,29060,31267,0.07594631796283546
55454,27,8294,9798,0.1813359054738366
55455,27,1020,1077,0.055882352941176494
55707,27,3507,3670,0.04647847162817231
55709,27,4108,4120,0.0029211295034079487
55721,27,3594,3558,-0.01001669449081799
55738,27,539,558,0.03525046382189245
55742,27,356,269,-0.2443820224719101
55749,27,459,414,-0.0980392156862745
55760,27,3187,2889,-0.09350486350800125
55787,27,446,628,0.40807174887892383
55798,27,574,602,0.04878048780487809
55810,27,8859,8318,-0.06106784061406478
55811,27,26346,28146,0.06832156684126622
55901,27,53451,56879,0.06413350545359298
55904,27,26489,27293,0.03035222167692253
55910,27,1377,1260,-0.08496732026143794
55912,27,28775,28658,-0.0040660295395308355
55929,27,1264,1220,-0.034810126582278444
53502,55,2517,2375,-0.05641636869288835
53504,55,1969,2182,0.10817673946165574
53507,55,2293,2214,-0.034452682075883145
53511,55,48754,48897,0.0029330926693194037
53517,55,1753,1815,0.03536794067313176
