NAME,state,county,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,2010_to_2011_chg,2011_to_2012_chg,2012_to_2013_chg,2013_to_2014_chg,2014_to_2015_chg,2015_to_2016_chg,2016_to_2017_chg,2017_to_2018_chg,2018_to_2019_chg,2010_to_2019_chg
"Creek County, Oklahoma",40,037,70133.0,70467.0,70651.0,70470.0,70632.0,70892.0,71312.0,71704.0,71604.0,71522.0,0.0047623800493348245,0.0026111513190572033,-0.0025618887206125818,0.0022988505747125743,0.003681051081662723,0.005924504880663539,0.005496971056764721,-0.0013946223362713006,-0.001145187419697269,0.019805227211155962
"Muskogee County, Oklahoma",40,101,71110.0,71003.0,70596.0,70303.0,69966.0,69699.0,69477.0,69086.0,68362.0,67997.0,-0.0015047110111094941,-0.005732152162584714,-0.004150376791886234,-0.004793536548938215,-0.0038161392676442363,-0.003185124607239742,-0.0056277617053125395,-0.01047969197811427,-0.005339223545244409,-0.0437772465194769
"Oklahoma County, Oklahoma",40,109,721178.0,732371.0,741781.0,755245.0,766215.0,776864.0,782970.0,787958.0,792582.0,797434.0,0.015520440168723892,0.012848679153052212,0.018150909769864665,0.0145250878853882,0.013898187845448051,0.007859805577295376,0.006370614455215362,0.005868333083743016,0.006121764057220647,0.10573811181150838
"Payne County, Oklahoma",40,119,77448.0,77988.0,78399.0,79066.0,80264.0,80850.0,81131.0,81575.0,82040.0,81784.0,0.006972420204524266,0.005270041544852999,0.008507761578591566,0.015151898413983345,0.007300907006877244,0.0034755720470005524,0.005472630683708957,0.005700275819797707,-0.0031204290589955663,0.055985951864476746
"Pottawatomie County, Oklahoma",40,125,69608.0,70280.0,70760.0,71158.0,71811.0,71875.0,72290.0,72226.0,72679.0,72592.0,0.0096540627514079,0.006829823562891191,0.005624646693046964,0.009176761572837977,0.0008912283633426554,0.005773913043478185,-0.0008853230045648974,0.0062719796195276345,-0.001197044538312264,0.042868635788989806
"Rogers County, Oklahoma",40,131,86988.0,87706.0,88367.0,89044.0,89815.0,90802.0,91766.0,91444.0,91984.0,92459.0,0.008254012047638648,0.007536542539849034,0.007661231002523472,0.008658640672027262,0.010989255692256394,0.01061650624435595,-0.0035089248741363432,0.005905253488473816,0.005163941555053064,0.06289373246884633
"Tulsa County, Oklahoma",40,143,605418.0,610599.0,613816.0,622409.0,629598.0,639242.0,642940.0,646266.0,648360.0,651552.0,0.008557723754496926,0.0052685969023860135,0.013999309239250746,0.01155028285259374,0.015317710666171047,0.005784976581638901,0.0051731110212460685,0.003240151887922371,0.004923190819914769,0.07620189687125256
"Wagoner County, Oklahoma",40,145,73349.0,74098.0,75030.0,75700.0,75702.0,76559.0,77679.0,78657.0,80110.0,81289.0,0.010211454825560073,0.012577937326243571,0.008929761428761784,2.6420079260347507e-05,0.01132070486909198,0.01462924019383749,0.012590275363997927,0.018472608922282863,0.014717263762326738,0.10824960122155725
"Benton County, Oregon",41,003,85575.0,85928.0,86430.0,86591.0,86316.0,87572.0,89385.0,90951.0,92101.0,93053.0,0.004125036517674596,0.005842100363094627,0.0018627791276177863,-0.0031758496841473027,0.014551184021502461,0.020702964417850467,0.017519718073502277,0.012644171037151875,0.010336478431287377,0.08738533450189889
"Clackamas County, Oregon",41,005,376891.0,380207.0,383857.0,388263.0,394972.0,401515.0,408062.0,412672.0,416075.0,418187.0,0.008798299773674634,0.009600033665871477,0.011478232779394304,0.017279524446058403,0.016565731241708237,0.016305742002166834,0.011297302860839853,0.008246258529776673,0.005076007931262394,0.10957014096913964
